team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
India,Australia,India,299,8,181,8,home,"Mar 31, 2001",Day,Australia tour of India,Australia,field first,India
Australia,India,Australia,338,4,245,4,away,"Apr 3, 2001",Day,Australia tour of India,Australia,bat first,India
India,Australia,Australia,269,6,265,6,away,"Apr 6, 2001",Day,Australia tour of India,India,bat first,India
Bangladesh,Zimbabwe,Zimbabwe,155,3,151,3,home,"Apr 7, 2001",Day,Bangladesh tour of Zimbabwe,Bangladesh,bat first,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,230,7,103,7,home,"Apr 8, 2001",Day,Bangladesh tour of Zimbabwe,Bangladesh,field first,Zimbabwe
Pakistan,Sri Lanka,Pakistan,255,9,239,9,away,"Apr 8, 2001",Day and night,ARY Gold Cup,Pakistan,bat first,United Arab Emirates
Sri Lanka,New Zealand,Sri Lanka,269,9,163,9,away,"Apr 10, 2001",Day and night,ARY Gold Cup,Sri Lanka,bat first,United Arab Emirates
Zimbabwe,Bangladesh,Zimbabwe,308,4,272,4,home,"Apr 11, 2001",Day,Bangladesh tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
New Zealand,Pakistan,Pakistan,270,2,266,2,away,"Apr 12, 2001",Day and night,ARY Gold Cup,New Zealand,bat first,United Arab Emirates
Pakistan,Sri Lanka,Pakistan,278,9,250,9,away,"Apr 13, 2001",Day and night,ARY Gold Cup,Pakistan,bat first,United Arab Emirates
New Zealand,Pakistan,Pakistan,131,3,127,3,away,"Apr 15, 2001",Day and night,ARY Gold Cup,New Zealand,bat first,United Arab Emirates
New Zealand,Sri Lanka,New Zealand,248,6,169,6,away,"Apr 17, 2001",Day and night,ARY Gold Cup,Sri Lanka,field first,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,297,7,220,7,away,"Apr 20, 2001",Day and night,ARY Gold Cup,Sri Lanka,bat first,United Arab Emirates
South Africa,West Indies,West Indies,202,7,200,7,home,"Apr 28, 2001",Day,South Africa tour of West Indies,West Indies,field first,West Indies
West Indies,South Africa,South Africa,221,2,220,2,away,"May 2, 2001",Day,South Africa tour of West Indies,South Africa,field first,West Indies
South Africa,West Indies,South Africa,287,4,155,4,away,"May 5, 2001",Day,South Africa tour of West Indies,West Indies,field first,Grenada
West Indies,South Africa,South Africa,201,2,200,2,away,"May 6, 2001",Day,South Africa tour of West Indies,South Africa,field first,Grenada
West Indies,South Africa,South Africa,202,3,199,3,away,"May 9, 2001",Day,South Africa tour of West Indies,South Africa,field first,West Indies
South Africa,West Indies,South Africa,190,10,137,10,away,"May 12, 2001",Day,South Africa tour of West Indies,West Indies,field first,West Indies
South Africa,West Indies,West Indies,164,4,163,4,home,"May 16, 2001",Day,South Africa tour of West Indies,South Africa,bat first,West Indies
Pakistan,England,Pakistan,273,6,165,6,away,"Jun 7, 2001",Day and night,NatWest Series,Pakistan,bat first,England
Pakistan,Australia,Australia,258,3,257,3,away,"Jun 9, 2001",Day,NatWest Series,Pakistan,bat first,Wales
England,Australia,Australia,272,5,268,5,away,"Jun 10, 2001",Day,NatWest Series,England,bat first,England
Pakistan,England,Pakistan,242,8,240,8,away,"Jun 12, 2001",Day,NatWest Series,England,field first,England
Australia,England,Australia,208,7,86,7,away,"Jun 14, 2001",Day and night,NatWest Series,Australia,bat first,England
England,Pakistan,Pakistan,153,4,156,4,away,"Jun 17, 2001",Day,NatWest Series,Pakistan,field first,England
Pakistan,Australia,Pakistan,290,9,254,9,away,"Jun 19, 2001",Day and night,NatWest Series,Pakistan,bat first,England
England,Australia,Australia,177,2,176,2,away,"Jun 21, 2001",Day,NatWest Series,England,bat first,England
West Indies,Zimbabwe,West Indies,266,5,239,5,away,"Jun 23, 2001",Day,Coca-Cola Cup (Zimbabwe),Zimbabwe,field first,Zimbabwe
Pakistan,Australia,Australia,156,1,152,1,away,"Jun 23, 2001",Day,NatWest Series,Pakistan,bat first,England
Zimbabwe,India,India,137,1,133,1,away,"Jun 24, 2001",Day,Coca-Cola Cup (Zimbabwe),India,field first,Zimbabwe
Zimbabwe,India,India,237,6,234,6,away,"Jun 27, 2001",Day,Coca-Cola Cup (Zimbabwe),India,field first,Zimbabwe
West Indies,India,India,170,4,169,4,away,"Jun 30, 2001",Day,Coca-Cola Cup (Zimbabwe),India,field first,Zimbabwe
Zimbabwe,West Indies,West Indies,258,5,255,5,away,"Jul 1, 2001",Day,Coca-Cola Cup (Zimbabwe),West Indies,field first,Zimbabwe
West Indies,India,India,230,4,229,4,away,"Jul 4, 2001",Day,Coca-Cola Cup (Zimbabwe),India,field first,Zimbabwe
West Indies,India,West Indies,290,6,274,6,away,"Jul 7, 2001",Day,Coca-Cola Cup (Zimbabwe),India,field first,Zimbabwe
Sri Lanka,New Zealand,Sri Lanka,220,10,204,10,home,"Jul 18, 2001",Day and night,Coca-Cola Cup (Sri Lanka),Sri Lanka,bat first,Sri Lanka
New Zealand,India,New Zealand,211,8,127,8,away,"Jul 20, 2001",Day and night,Coca-Cola Cup (Sri Lanka),New Zealand,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,221,9,215,9,home,"Jul 22, 2001",Day and night,Coca-Cola Cup (Sri Lanka),Sri Lanka,bat first,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,240,5,236,5,home,"Jul 25, 2001",Day,Coca-Cola Cup (Sri Lanka),New Zealand,bat first,Sri Lanka
New Zealand,India,New Zealand,200,10,133,10,away,"Jul 26, 2001",Day,Coca-Cola Cup (Sri Lanka),India,field first,Sri Lanka
Sri Lanka,India,India,184,3,183,3,away,"Jul 28, 2001",Day,Coca-Cola Cup (Sri Lanka),Sri Lanka,bat first,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,221,6,115,6,home,"Jul 31, 2001",Day,Coca-Cola Cup (Sri Lanka),New Zealand,field first,Sri Lanka
India,Sri Lanka,India,227,8,181,8,away,"Aug 1, 2001",Day,Coca-Cola Cup (Sri Lanka),Sri Lanka,field first,Sri Lanka
New Zealand,India,India,267,3,264,3,away,"Aug 2, 2001",Day,Coca-Cola Cup (Sri Lanka),New Zealand,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,295,5,174,5,home,"Aug 5, 2001",Day and night,Coca-Cola Cup (Sri Lanka),Sri Lanka,bat first,Sri Lanka
West Indies,Kenya,West Indies,311,4,205,4,away,"Aug 15, 2001",Day,West Indies tour of Kenya,Kenya,field first,Kenya
Kenya,West Indies,West Indies,193,4,192,4,away,"Aug 18, 2001",Day,West Indies tour of Kenya,Kenya,bat first,Kenya
Kenya,West Indies,West Indies,234,3,232,3,away,"Aug 19, 2001",Day,West Indies tour of Kenya,Kenya,bat first,Kenya
South Africa,Zimbabwe,South Africa,363,3,210,3,away,"Sep 23, 2001",Day,South Africa tour of Zimbabwe,South Africa,bat first,Zimbabwe
South Africa,Zimbabwe,South Africa,272,7,124,7,away,"Sep 29, 2001",Day,South Africa tour of Zimbabwe,South Africa,bat first,Zimbabwe
Zimbabwe,South Africa,South Africa,188,4,184,4,away,"Sep 30, 2001",Day,South Africa tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Zimbabwe,England,England,210,5,206,5,away,"Oct 3, 2001",Day,England tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
India,South Africa,South Africa,280,4,279,4,home,"Oct 5, 2001",Day and night,Standard Bank Triangular Tournament,South Africa,field first,South Africa
Zimbabwe,England,England,196,2,195,2,away,"Oct 6, 2001",Day,England tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Zimbabwe,England,England,265,6,261,6,away,"Oct 7, 2001",Day,England tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Kenya,South Africa,South Africa,160,3,159,3,home,"Oct 7, 2001",Day,Standard Bank Triangular Tournament,Kenya,bat first,South Africa
England,Zimbabwe,England,280,9,210,9,away,"Oct 10, 2001",Day,England tour of Zimbabwe,England,bat first,Zimbabwe
India,South Africa,India,233,10,192,10,away,"Oct 10, 2001",Day and night,Standard Bank Triangular Tournament,India,bat first,South Africa
Kenya,India,India,91,0,90,0,away,"Oct 12, 2001",Day and night,Standard Bank Triangular Tournament,Kenya,bat first,South Africa
Zimbabwe,England,England,229,3,228,3,away,"Oct 13, 2001",Day,England tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Kenya,South Africa,South Africa,230,1,229,1,home,"Oct 14, 2001",Day,Standard Bank Triangular Tournament,Kenya,bat first,South Africa
Kenya,India,Kenya,246,6,176,6,away,"Oct 17, 2001",Day and night,Standard Bank Triangular Tournament,Kenya,bat first,South Africa
South Africa,India,South Africa,282,4,236,4,home,"Oct 19, 2001",Day and night,Standard Bank Triangular Tournament,South Africa,bat first,South Africa
South Africa,Kenya,South Africa,354,3,146,3,home,"Oct 22, 2001",Day and night,Standard Bank Triangular Tournament,South Africa,bat first,South Africa
India,Kenya,India,351,3,165,3,away,"Oct 24, 2001",Day and night,Standard Bank Triangular Tournament,India,bat first,South Africa
Sri Lanka,Zimbabwe,Sri Lanka,256,6,193,6,away,"Oct 26, 2001",Day and night,Khaleej Times Trophy,Sri Lanka,bat first,United Arab Emirates
India,South Africa,South Africa,187,4,183,4,home,"Oct 26, 2001",Day and night,Standard Bank Triangular Tournament,South Africa,field first,South Africa
Pakistan,Sri Lanka,Sri Lanka,177,3,176,3,away,"Oct 27, 2001",Day and night,Khaleej Times Trophy,Pakistan,bat first,United Arab Emirates
Pakistan,Zimbabwe,Pakistan,279,6,173,6,away,"Oct 28, 2001",Day and night,Khaleej Times Trophy,Pakistan,bat first,United Arab Emirates
Sri Lanka,Zimbabwe,Sri Lanka,250,10,171,10,away,"Oct 30, 2001",Day and night,Khaleej Times Trophy,Sri Lanka,bat first,United Arab Emirates
Pakistan,Zimbabwe,Pakistan,261,9,232,9,away,"Oct 31, 2001",Day and night,Khaleej Times Trophy,Pakistan,bat first,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,273,3,272,3,away,"Nov 2, 2001",Day and night,Khaleej Times Trophy,Sri Lanka,bat first,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,177,5,173,5,away,"Nov 4, 2001",Day and night,Khaleej Times Trophy,Sri Lanka,bat first,United Arab Emirates
Bangladesh,Zimbabwe,Zimbabwe,161,5,156,5,away,"Nov 23, 2001",Day,Zimbabwe tour of Bangladesh,Zimbabwe,field first,Bangladesh
Zimbabwe,Bangladesh,Zimbabwe,309,6,267,6,away,"Nov 25, 2001",Day and night,Zimbabwe tour of Bangladesh,Zimbabwe,bat first,Bangladesh
Bangladesh,Zimbabwe,Zimbabwe,219,3,215,3,away,"Nov 26, 2001",Day and night,Zimbabwe tour of Bangladesh,Bangladesh,bat first,Bangladesh
Zimbabwe,Sri Lanka,Sri Lanka,40,1,38,1,home,"Dec 8, 2001",Day,LG Abans Triangular Series,Sri Lanka,field first,Sri Lanka
West Indies,Zimbabwe,Zimbabwe,175,6,173,6,away,"Dec 9, 2001",Day,LG Abans Triangular Series,Zimbabwe,field first,Sri Lanka
West Indies,Sri Lanka,West Indies,250,8,201,8,away,"Dec 11, 2001",Day and night,LG Abans Triangular Series,West Indies,bat first,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,272,7,213,7,home,"Dec 12, 2001",Day and night,LG Abans Triangular Series,Sri Lanka,bat first,Sri Lanka
West Indies,Sri Lanka,Sri Lanka,239,2,235,2,home,"Dec 15, 2001",Day,LG Abans Triangular Series,Sri Lanka,field first,Sri Lanka
Zimbabwe,West Indies,West Indies,155,2,154,2,away,"Dec 16, 2001",Day,LG Abans Triangular Series,West Indies,field first,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,253,8,212,8,home,"Dec 19, 2001",Day and night,LG Abans Triangular Series,Sri Lanka,bat first,Sri Lanka
New Zealand,Australia,New Zealand,199,8,176,8,away,"Jan 11, 2002",Day and night,VB Series,Australia,field first,Australia
Australia,South Africa,South Africa,199,6,198,6,away,"Jan 13, 2002",Day and night,VB Series,Australia,bat first,Australia
South Africa,New Zealand,South Africa,257,7,231,7,away,"Jan 15, 2002",Day,VB Series,South Africa,bat first,Australia
New Zealand,Australia,New Zealand,235,9,212,9,away,"Jan 17, 2002",Day and night,VB Series,New Zealand,bat first,Australia
South Africa,New Zealand,New Zealand,244,6,241,6,away,"Jan 19, 2002",Day and night,VB Series,South Africa,bat first,Australia
India,England,India,281,8,259,8,home,"Jan 19, 2002",Day and night,England tour of India,India,bat first,India
Australia,South Africa,Australia,241,4,214,4,home,"Jan 20, 2002",Day and night,VB Series,Australia,bat first,Australia
Pakistan,Bangladesh,Pakistan,202,10,153,10,away,"Jan 22, 2002",Day,Pakistan tour of Bangladesh,Pakistan,bat first,Bangladesh
South Africa,Australia,Australia,107,2,106,2,home,"Jan 22, 2002",Day and night,VB Series,South Africa,bat first,Australia
England,India,England,250,7,234,7,away,"Jan 22, 2002",Day,England tour of India,India,field first,India
Pakistan,Bangladesh,Pakistan,281,5,209,5,away,"Jan 24, 2002",Day and night,Pakistan tour of Bangladesh,Pakistan,bat first,Bangladesh
Bangladesh,Pakistan,Pakistan,221,2,220,2,away,"Jan 25, 2002",Day and night,Pakistan tour of Bangladesh,Bangladesh,bat first,Bangladesh
England,India,India,221,6,217,6,home,"Jan 25, 2002",Day and night,England tour of India,England,bat first,India
New Zealand,Australia,New Zealand,242,5,165,5,away,"Jan 26, 2002",Day and night,VB Series,New Zealand,bat first,Australia
South Africa,New Zealand,South Africa,253,5,160,5,away,"Jan 27, 2002",Day and night,VB Series,South Africa,bat first,Australia
England,India,India,219,2,218,2,home,"Jan 28, 2002",Day,England tour of India,England,bat first,India
New Zealand,Australia,Australia,248,8,245,8,home,"Jan 29, 2002",Day and night,VB Series,New Zealand,bat first,Australia
England,India,England,271,5,269,5,away,"Jan 31, 2002",Day,England tour of India,India,field first,India
South Africa,New Zealand,South Africa,270,5,203,5,away,"Feb 1, 2002",Day and night,VB Series,New Zealand,field first,Australia
Australia,South Africa,Australia,283,7,250,7,home,"Feb 3, 2002",Day,VB Series,South Africa,field first,Australia
England,India,England,255,10,250,10,away,"Feb 3, 2002",Day and night,England tour of India,England,bat first,India
New Zealand,South Africa,South Africa,191,2,190,2,away,"Feb 6, 2002",Day and night,VB Series,New Zealand,bat first,Australia
New Zealand,South Africa,South Africa,173,4,175,4,away,"Feb 8, 2002",Day and night,VB Series,New Zealand,bat first,Australia
England,New Zealand,New Zealand,198,6,196,6,home,"Feb 13, 2002",Day and night,England tour of New Zealand,England,bat first,New Zealand
West Indies,Pakistan,Pakistan,193,6,190,6,away,"Feb 14, 2002",Day and night,Pakistan tour of United Arab Emirates,West Indies,bat first,United Arab Emirates
Pakistan,West Indies,Pakistan,232,10,181,10,away,"Feb 15, 2002",Day and night,Pakistan tour of United Arab Emirates,Pakistan,bat first,United Arab Emirates
New Zealand,England,New Zealand,244,8,89,8,home,"Feb 16, 2002",Day and night,England tour of New Zealand,England,field first,New Zealand
West Indies,Pakistan,West Indies,260,5,150,5,away,"Feb 17, 2002",Day and night,Pakistan tour of United Arab Emirates,West Indies,bat first,United Arab Emirates
England,New Zealand,England,244,5,201,5,away,"Feb 20, 2002",Day and night,England tour of New Zealand,New Zealand,field first,New Zealand
England,New Zealand,England,193,6,189,6,away,"Feb 23, 2002",Day and night,England tour of New Zealand,England,bat first,New Zealand
England,New Zealand,New Zealand,223,5,218,5,home,"Feb 26, 2002",Day and night,England tour of New Zealand,England,bat first,New Zealand
India,Zimbabwe,Zimbabwe,277,9,274,9,away,"Mar 7, 2002",Day,Zimbabwe tour of India,India,bat first,India
India,Zimbabwe,India,319,6,255,6,home,"Mar 10, 2002",Day and night,Zimbabwe tour of India,India,bat first,India
India,Zimbabwe,Zimbabwe,197,4,191,4,away,"Mar 13, 2002",Day,Zimbabwe tour of India,India,bat first,India
Zimbabwe,India,India,244,5,240,5,home,"Mar 16, 2002",Day and night,Zimbabwe tour of India,Zimbabwe,bat first,India
India,Zimbabwe,India,333,6,232,6,home,"Mar 19, 2002",Day,Zimbabwe tour of India,India,bat first,India
Australia,South Africa,Australia,223,8,204,8,away,"Mar 22, 2002",Day,Australia tour of South Africa,Australia,bat first,South Africa
Australia,South Africa,Australia,226,8,181,8,away,"Mar 24, 2002",Day,Australia tour of South Africa,South Africa,field first,South Africa
Australia,South Africa,Australia,290,6,253,6,away,"Mar 30, 2002",Day,Australia tour of South Africa,Australia,bat first,South Africa
South Africa,Australia,Australia,271,2,267,2,away,"Apr 3, 2002",Day and night,Australia tour of South Africa,Australia,field first,South Africa
South Africa,Australia,Australia,330,7,326,7,away,"Apr 6, 2002",Day,Australia tour of South Africa,South Africa,bat first,South Africa
Sri Lanka,Pakistan,Sri Lanka,242,9,201,9,away,"Apr 8, 2002",Day and night,Sharjah Cup,Sri Lanka,bat first,United Arab Emirates
New Zealand,Sri Lanka,New Zealand,218,8,207,8,away,"Apr 9, 2002",Day and night,Sharjah Cup,New Zealand,bat first,United Arab Emirates
South Africa,Australia,South Africa,249,7,185,7,home,"Apr 9, 2002",Day and night,Australia tour of South Africa,Australia,field first,South Africa
Pakistan,New Zealand,Pakistan,288,6,237,6,away,"Apr 11, 2002",Day and night,Sharjah Cup,Pakistan,bat first,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,239,6,230,6,away,"Apr 12, 2002",Day and night,Sharjah Cup,Sri Lanka,bat first,United Arab Emirates
Sri Lanka,New Zealand,Sri Lanka,243,9,197,9,away,"Apr 14, 2002",Day and night,Sharjah Cup,Sri Lanka,bat first,United Arab Emirates
New Zealand,Pakistan,Pakistan,217,2,213,2,away,"Apr 15, 2002",Day and night,Sharjah Cup,New Zealand,bat first,United Arab Emirates
Pakistan,Sri Lanka,Pakistan,295,6,78,6,away,"Apr 17, 2002",Day and night,Sharjah Cup,Pakistan,bat first,United Arab Emirates
Pakistan,New Zealand,Pakistan,275,6,122,6,home,"Apr 21, 2002",Day and night,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
New Zealand,Pakistan,Pakistan,278,7,277,7,home,"Apr 24, 2002",Day and night,New Zealand tour of Pakistan,New Zealand,bat first,Pakistan
Pakistan,New Zealand,Pakistan,278,5,212,5,home,"Apr 27, 2002",Day and night,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
West Indies,India,India,187,3,186,3,away,"May 29, 2002",Day,India tour of West Indies,India,field first,West Indies
India,West Indies,West Indies,124,3,123,3,home,"Jun 1, 2002",Day,India tour of West Indies,India,bat first,West Indies
India,West Indies,India,260,10,191,10,away,"Jun 2, 2002",Day,India tour of West Indies,India,bat first,West Indies
New Zealand,West Indies,West Indies,250,4,248,4,home,"Jun 8, 2002",Day,New Zealand tour of West Indies,West Indies,field first,West Indies
New Zealand,West Indies,West Indies,211,3,210,3,home,"Jun 9, 2002",Day,New Zealand tour of West Indies,New Zealand,bat first,West Indies
Pakistan,Australia,Australia,177,3,176,3,home,"Jun 12, 2002",Day and night,Pakistan tour of Australia,Australia,field first,Australia
New Zealand,West Indies,New Zealand,212,5,202,5,away,"Jun 12, 2002",Day,New Zealand tour of West Indies,New Zealand,bat first,West Indies
Australia,Pakistan,Pakistan,168,8,167,8,away,"Jun 15, 2002",Day and night,Pakistan tour of Australia,Australia,bat first,Australia
New Zealand,West Indies,West Indies,292,6,291,6,home,"Jun 16, 2002",Day,New Zealand tour of West Indies,New Zealand,bat first,West Indies
Pakistan,Australia,Pakistan,256,7,165,7,away,"Jun 19, 2002",Day and night,Pakistan tour of Australia,Pakistan,bat first,Australia
England,Sri Lanka,England,293,6,249,6,home,"Jun 27, 2002",Day and night,NatWest Series,England,bat first,England
England,India,India,272,4,271,4,away,"Jun 29, 2002",Day,,England,bat first,England
Sri Lanka,India,India,203,6,202,6,away,"Jun 30, 2002",Day,,Sri Lanka,bat first,England
Sri Lanka,England,England,241,7,240,7,home,"Jul 2, 2002",Day,,England,field first,England
Sri Lanka,India,India,188,6,187,6,away,"Jul 6, 2002",Day,,India,field first,England
Sri Lanka,England,Sri Lanka,229,10,206,10,away,"Jul 7, 2002",Day,,Sri Lanka,bat first,England
England,India,England,229,8,165,8,home,"Jul 9, 2002",Day,,India,field first,England
India,Sri Lanka,India,304,10,241,10,away,"Jul 11, 2002",Day and night,NatWest Series,India,bat first,England
England,India,India,326,8,325,8,away,"Jul 13, 2002",Day,NatWest Series,England,bat first,England
Bangladesh,Sri Lanka,Sri Lanka,228,5,226,5,home,"Aug 4, 2002",Day,Bangladesh tour of Sri Lanka,Bangladesh,bat first,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,77,2,76,2,home,"Aug 5, 2002",Day,Bangladesh tour of Sri Lanka,Bangladesh,bat first,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,258,6,200,6,home,"Aug 7, 2002",Day,Bangladesh tour of Sri Lanka,Bangladesh,field first,Sri Lanka
South Africa,Pakistan,South Africa,283,9,229,9,away,"Aug 12, 2002",Day,Morocco Cup,South Africa,bat first,Morocco
Pakistan,Sri Lanka,Pakistan,279,5,251,5,away,"Aug 14, 2002",Day,Morocco Cup,Sri Lanka,field first,Morocco
Sri Lanka,South Africa,Sri Lanka,267,7,174,7,away,"Aug 15, 2002",Day,Morocco Cup,Sri Lanka,bat first,Morocco
Sri Lanka,Pakistan,Sri Lanka,242,10,203,10,away,"Aug 17, 2002",Day,Morocco Cup,Sri Lanka,bat first,Morocco
South Africa,Pakistan,South Africa,196,8,188,8,away,"Aug 18, 2002",Day,Morocco Cup,South Africa,bat first,Morocco
South Africa,Sri Lanka,Sri Lanka,221,4,220,4,away,"Aug 19, 2002",Day,Morocco Cup,South Africa,bat first,Morocco
Sri Lanka,South Africa,Sri Lanka,235,7,208,7,away,"Aug 21, 2002",Day,Morocco Cup,Sri Lanka,bat first,Morocco
Kenya,Pakistan,Pakistan,134,6,133,6,away,"Aug 29, 2002",Day,PSO Tri-Nation Tournament,Pakistan,field first,Kenya
Australia,Pakistan,Australia,332,5,108,5,away,"Aug 30, 2002",Day,PSO Tri-Nation Tournament,Pakistan,field first,Kenya
Kenya,Pakistan,Pakistan,181,3,179,3,away,"Sep 1, 2002",Day,PSO Tri-Nation Tournament,Kenya,bat first,Kenya
Kenya,Australia,Australia,85,2,84,2,away,"Sep 2, 2002",Day,PSO Tri-Nation Tournament,Australia,field first,Kenya
Pakistan,Australia,Australia,121,1,117,1,away,"Sep 4, 2002",Day,PSO Tri-Nation Tournament,Pakistan,bat first,Kenya
Kenya,Australia,Australia,205,5,204,5,away,"Sep 5, 2002",Day,PSO Tri-Nation Tournament,Kenya,bat first,Kenya
Pakistan,Sri Lanka,Sri Lanka,201,2,200,2,home,"Sep 12, 2002",Day and night,ICC Champions Trophy,Pakistan,bat first,Sri Lanka
West Indies,South Africa,South Africa,242,8,238,8,away,"Sep 13, 2002",Day,ICC Champions Trophy,South Africa,field first,Sri Lanka
India,Zimbabwe,India,288,6,274,6,away,"Sep 14, 2002",Day and night,ICC Champions Trophy,India,bat first,Sri Lanka
Australia,New Zealand,Australia,296,7,132,7,away,"Sep 15, 2002",Day,ICC Champions Trophy,Australia,bat first,Sri Lanka
Sri Lanka,Netherlands,Sri Lanka,292,6,86,6,home,"Sep 16, 2002",Day and night,ICC Champions Trophy,Sri Lanka,bat first,Sri Lanka
West Indies,Kenya,West Indies,261,6,232,6,away,"Sep 17, 2002",Day,ICC Champions Trophy,West Indies,bat first,Sri Lanka
England,Zimbabwe,England,298,8,190,8,away,"Sep 18, 2002",Day and night,ICC Champions Trophy,England,bat first,Sri Lanka
Bangladesh,Australia,Australia,133,1,129,1,away,"Sep 19, 2002",Day,ICC Champions Trophy,Bangladesh,bat first,Sri Lanka
South Africa,Kenya,South Africa,316,5,140,5,away,"Sep 20, 2002",Day and night,ICC Champions Trophy,South Africa,bat first,Sri Lanka
Netherlands,Pakistan,Pakistan,142,1,136,1,away,"Sep 21, 2002",Day,ICC Champions Trophy,Netherlands,bat first,Sri Lanka
England,India,India,271,2,269,2,away,"Sep 22, 2002",Day and night,ICC Champions Trophy,England,bat first,Sri Lanka
New Zealand,Bangladesh,New Zealand,244,9,77,9,away,"Sep 23, 2002",Day,ICC Champions Trophy,Bangladesh,field first,Sri Lanka
India,South Africa,India,261,9,251,9,away,"Sep 25, 2002",Day and night,ICC Champions Trophy,India,bat first,Sri Lanka
Australia,Sri Lanka,Sri Lanka,163,3,162,3,home,"Sep 27, 2002",Day and night,ICC Champions Trophy,Australia,bat first,Sri Lanka
South Africa,Bangladesh,South Africa,301,8,133,8,home,"Oct 3, 2002",Day and night,Bangladesh tour of South Africa,South Africa,bat first,South Africa
Bangladesh,South Africa,South Africa,155,0,154,0,home,"Oct 6, 2002",Day,Bangladesh tour of South Africa,South Africa,field first,South Africa
Bangladesh,South Africa,South Africa,152,3,151,3,home,"Oct 9, 2002",Day and night,Bangladesh tour of South Africa,Bangladesh,bat first,South Africa
India,West Indies,West Indies,285,6,283,6,away,"Nov 6, 2002",Day,West Indies tour of India,India,bat first,India
India,West Indies,West Indies,280,3,279,3,away,"Nov 9, 2002",Day,West Indies tour of India,West Indies,field first,India
West Indies,India,India,200,1,300,1,home,"Nov 12, 2002",Day,West Indies tour of India,India,field first,India
West Indies,India,India,325,5,324,5,home,"Nov 15, 2002",Day and night,West Indies tour of India,India,field first,India
India,West Indies,West Indies,291,5,290,5,away,"Nov 18, 2002",Day,West Indies tour of India,West Indies,field first,India
West Indies,India,India,202,7,201,7,home,"Nov 21, 2002",Day,West Indies tour of India,India,field first,India
Pakistan,Zimbabwe,Pakistan,302,4,295,4,away,"Nov 23, 2002",Day,Pakistan tour of Zimbabwe,Pakistan,bat first,Zimbabwe
West Indies,India,West Indies,315,6,180,6,away,"Nov 24, 2002",Day,West Indies tour of India,India,field first,India
Pakistan,Zimbabwe,Pakistan,344,5,140,5,away,"Nov 24, 2002",Day,Pakistan tour of Zimbabwe,Pakistan,bat first,Zimbabwe
Pakistan,Zimbabwe,Pakistan,323,3,275,3,away,"Nov 27, 2002",Day,Pakistan tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Sri Lanka,South Africa,South Africa,129,4,128,4,home,"Nov 27, 2002",Day,Sri Lanka tour of South Africa,South Africa,field first,South Africa
South Africa,Sri Lanka,South Africa,317,6,140,6,home,"Nov 29, 2002",Day and night,Sri Lanka tour of South Africa,South Africa,bat first,South Africa
Zimbabwe,Pakistan,Pakistan,211,2,210,2,away,"Nov 30, 2002",Day,Pakistan tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Pakistan,Zimbabwe,Pakistan,300,7,230,7,away,"Dec 1, 2002",Day,Pakistan tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
South Africa,Sri Lanka,Sri Lanka,258,3,253,3,away,"Dec 1, 2002",Day,Sri Lanka tour of South Africa,Sri Lanka,field first,South Africa
West Indies,Bangladesh,West Indies,266,4,182,4,away,"Dec 2, 2002",Day and night,West Indies tour of Bangladesh,West Indies,bat first,Bangladesh
West Indies,Bangladesh,West Indies,281,5,195,5,away,"Dec 3, 2002",Day and night,West Indies tour of Bangladesh,West Indies,bat first,Bangladesh
Sri Lanka,South Africa,South Africa,190,2,184,2,home,"Dec 4, 2002",Day and night,Sri Lanka tour of South Africa,South Africa,field first,South Africa
Sri Lanka,South Africa,South Africa,229,4,228,4,home,"Dec 6, 2002",Day and night,Sri Lanka tour of South Africa,Sri Lanka,bat first,South Africa
South Africa,Pakistan,South Africa,272,7,140,7,home,"Dec 8, 2002",Day,Pakistan tour of South Africa,Pakistan,field first,South Africa
Zimbabwe,Kenya,Zimbabwe,273,4,181,4,home,"Dec 11, 2002",Day,Kenya tour of Zimbabwe,Kenya,field first,Zimbabwe
